article_id	start_position	end_position	entity_text	entity_type
8	52	54	前天	time
8	68	70	昨天	time
8	189	193	二十分鐘	time
8	293	295	五年	time
8	540	544	兩個禮拜	time
8	726	728	前天	time
8	730	732	前天	time
8	858	860	前天	time
8	898	900	前天	time
8	1549	1551	五天	time
8	1622	1626	五天禮拜	time
8	1991	1994	這禮拜	time
8	2560	2563	兩個月	time
16	122	124	三年	time
16	130	132	三年	time
16	247	249	三年	time
0	2304	2307	海洛英	time
0	2576	2578	五天	time
0	2665	2670	二到禮拜四	time
24	48	51	三個月	time
24	53	56	七公斤	med_exam
24	113	115	三年	time
24	141	144	三年間	time
24	711	713	較寬	location
24	1335	1337	慮學	name
24	1381	1384	一點點	time
24	1858	1861	二個月	time
24	1869	1872	二個月	time
24	1986	1989	五個月	time
11	18	21	九千七	money
11	61	64	零四百	money
11	67	70	零五百	money
11	83	86	九千七	money
11	135	139	三個禮拜	time
11	135	318	三個禮拜的藥說不定就差不多了。民眾：阿我有一個問題。醫師：是。民眾：就是我這隻手舉起來都會抖。醫師：我看看。民眾：這裡。醫師：有辦法出力嘛？民眾：這樣就會抖。醫師，會出力嗎？可以出力嗎？民眾，可以，是可以出力，只是問題是這樣開始抖，就像，就好像要萎縮一樣。醫師：要萎縮一樣喔。民眾：嘿阿。醫師：我覺得可以開始來做復健欸。民眾：這樣，對阿。你上次跟我說那個宇智波，木葉	time
11	135	442	三個禮拜的藥說不定就差不多了。民眾：阿我有一個問題。醫師：是。民眾：就是我這隻手舉起來都會抖。醫師：我看看。民眾：這裡。醫師：有辦法出力嘛？民眾：這樣就會抖。醫師，會出力嗎？可以出力嗎？民眾，可以，是可以出力，只是問題是這樣開始抖，就像，就好像要萎縮一樣。醫師：要萎縮一樣喔。民眾：嘿阿。醫師：我覺得可以開始來做復健欸。民眾：這樣，對阿。你上次跟我說那個宇智波，木葉有一間宇智波。醫師：是是是，哼哼哼。醫師：阿他，因為現在你發炎已經都控制好了。民眾：嘿啦。醫師：你在發炎的時候做復健有時候會更嚴重。民眾：嗯。醫師：阿你現在發炎發炎指數都可以。民眾：喔。醫師：喔，那這樣我把你轉，轉診好不好。民眾：好。醫師：你住木葉	time
11	462	464	職災	location
11	514	518	三個禮拜	time
11	557	561	三個禮拜	time
11	569	573	三個禮拜	time
11	645	649	三個禮拜	time
11	672	676	三個禮拜	time
11	693	697	兩個禮拜	time
11	707	713	後四月二十日	time
11	751	755	兩個禮拜	time
11	923	925	小櫻	name
11	923	934	小櫻，你幫我查一下木葉	name
9	70	74	兩千多塊	money
9	188	190	公斤	money
9	273	275	泳四	money
9	290	294	四十分鐘	time
13	393	397	第六個月	time
13	549	553	第六個月	time
13	678	681	5月初	time
13	701	705	兩個禮拜	time
13	721	723	半月	time
13	731	735	5月1號	time
13	784	788	四個禮拜	time
13	793	797	四個禮拜	time
13	946	950	四個禮拜	time
1	235	237	中午	time
1	254	256	中午	time
1	335	337	小姐	name
1	443	446	一點點	time
1	802	805	三個月	time
1	906	908	二百	money
1	917	919	二百	money
1	988	991	兩百多	money
1	997	1000	兩百多	money
1	1021	1024	兩百多	money
1	1052	1055	五個月	time
1	1385	1387	六年	time
1	1394	1396	四年	time
1	1404	1406	四年	time
1	1414	1416	四年	time
1	1525	1528	一點點	time
1	1533	1536	一點點	time
1	1575	1578	一點點	time
1	1765	1768	一點點	time
1	2261	2263	半月	time
1	2295	2299	兩個禮拜	time
1	2334	2338	三個禮拜	time
1	2591	2593	爬樓	location
1	2591	2600	爬樓梯齁，爬個幾樓	location
23	275	278	三個月	time
23	535	538	三個月	time
23	540	543	二個月	time
23	556	559	三個月	time
23	629	633	8月1號	time
23	1592	1596	8月2號	time
